Name_WP,LibType,N_wind_turbines,N_WT_inServ,Snom_WP,Unit,Active_ref,Unit,Turbine Power,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu,Frequency,Unit,Collector_grid_nominal_voltage,Unit,Tx_grid_nominal_voltage(POI),Unit,Include_ZigZag_transformer_option,R_ZigZag,Unit,L_ZigZag,Unit,Inverter_nominal_voltage,Unit,DC_voltage,Unit,Q_filt,Unit,R_Choke,Unit,L_Choke,Unit,Inc_collector,R_collector,Unit,L_collector,Unit,C_collector,Unit,Wind Speed
PE_San_Pedro_II,WECC WP,39,39,1.667,MVA,0.461538462,pu,,,1,-0.025641026,pu,65.013,30.00600003,-1.66700028,0.46153846,-0.02564103,50,Hz,34.5,kVRMSLL,110,kVRMSLL,,0,Ohm,0.036391861,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,1,0.1265,Ohm,0.3831e-3,H,7e-6,F,
PE_Aurora,WECC WP,74,74,1.667,MVA,0.94,pu,,,1,-0.101,pu,123.358,115.95652000,-12.45915800,0.94000000,-0.10100000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_SanGabriel,WECC WP,110,110,1.667,MVA,0.6203,pu,,,1,-0.0027,pu,183.37,113.74441100,-0.49509900,0.62030000,-0.00270000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_MallecoNorte,WECC WP,83,83,1.667,MVA,0.547777,pu,,,1,-0.0554,pu,138.361,75.79097350,-7.66519940,0.54777700,-0.05540000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_MallecoSur,WECC WP,81,81,1.667,MVA,0.547777,pu,,,1,-0.137283951,pu,135.02700000000001,73.96468498,-18.53703992,0.54777700,-0.13728395,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_Los_Olmos,WECC WP,65,65,1.667,MVA,0.547777,pu,,,1,-0.1056,pu,108.355,59.35437684,-11.44228800,0.54777700,-0.10560000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_Tolpan_Sur,WECC WP,50,50,1.667,MVA,0.547777,pu,,,1,-0.0554,pu,83.35000000000001,45.65721295,-4.61759000,0.54777700,-0.05540000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_Lomas_de_Duqueco,WECC WP,37,37,1.667,MVA,0.547777,pu,,,1,-0.003243243,pu,61.679,33.78633758,-0.20003980,0.54777700,-0.00324324,50,Hz,34.5,kVRMSLL,66,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_SUR_1,WECC WP,150,150,1.667,MVA,0.5,pu,,,1,-0.1,pu,250.05,125.02500000,-25.00500000,0.50000000,-0.10000000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
PE_SUR_2,WECC WP,150,150,1.667,MVA,0.225,pu,,,1,0,pu,250.05,56.26125000,0.00000000,0.22500000,0.00000000,50,Hz,34.5,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.2624,kVRMSLL,15,kVAR,0.01,pu,0.15,pu,,0.1265,Ohm,0.3831e-4,H,7e-6,F,
