Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_LPEU_N1,PQ load Yg with load-flow (LF),1,10.81,MW,4.666666667,MVAR,32.43,14.000000001,0,0,Yg
PICOLTUE_220,PQ load Yg with load-flow (LF),1,2.21666666666,MW,3.166666666666667,MVAR,6.64999999998,9.5,0,0,Yg
TR_HUALP_N1,PQ load Yg with load-flow (LF),1,28.3,MW,-8.213333333,MVAR,84.9,-24.639999998999997,0,0,Yg
CLAJA_220,PQ load Yg with load-flow (LF),1,3.536666666,MW,-2.68666666666666667,MVAR,10.609999998,-8.059999999999998,0,0,Yg
INFOR_220,PQ load Yg with load-flow (LF),1,5.84,MW,2.33666666,MVAR,17.52,7.00999998,0,0,Yg
TCHOLG_220,PQ load Yg with load-flow (LF),0,4.533333333334,MW,1.9333333333334,MVAR,13.600000000002001,5.8000000000002,0,0,Yg
TR_STAFE_220,PQ load Yg with load-flow (LF),1,14.373,MW,3.81,MVAR,43.119,11.43,0,0,Yg
TR_COLBUN_N1,PQ load Yg with load-flow (LF),1,32.7466666,MW,11.093333333,MVAR,98.23999979999999,33.279999999,0,0,Yg
MINERO_220,PQ load Yg with load-flow (LF),1,56.4,MW,13.2,MVAR,169.2,39.599999999999994,0,0,Yg
TR_TEMUCO66,PQ load Yg with load-flow (LF),1,30.41,MW,9.52,MVAR,91.23,28.56,0,0,Yg
MAULE_220,PQ load Yg with load-flow (LF),1,30.88,MW,8,MVAR,92.64,24,0,0,Yg
TR_CHILOE_110,PQ load Yg with load-flow (LF),1,11.3866666667,MW,1,MVAR,34.1600000001,3,0,0,Yg
ATR_VALDIV_220,PQ load Yg with load-flow (LF),1,13.1,MW,2.47,MVAR,39.3,7.41,0,0,Yg
ATR_LASTARR_220,PQ load Yg with load-flow (LF),1,8.93,MW,-0.35333333,MVAR,26.79,-1.0599999900000001,0,0,Yg
TR_HUALQUI_220,PQ load Yg with load-flow (LF),1,10.94,MW,1.683333333,MVAR,32.82,5.049999999,0,0,Yg
TR_ITAHUE_N1,PQ load Yg with load-flow (LF),1,22.7433333334,MW,8.89333333,MVAR,68.2300000002,26.679999990000002,0,0,Yg
CONCEPCION_220,PQ load Yg with load-flow (LF),1,42.8,MW,11.8,MVAR,128.39999999999998,35.400000000000006,0,0,Yg
CHARRUA_154,PQ load Yg with load-flow (LF),1,51.68,MW,20.81666666667,MVAR,155.04,62.45000000000999,0,0,Yg
TINGUIRI_220,PQ load Yg with load-flow (LF),1,66.7066666,MW,26.606666666,MVAR,200.11999980000002,79.819999998,0,0,Yg
TR_CPACIFICO,PQ load Yg with load-flow (LF),1,6.01666666667,MW,3.18666666667,MVAR,18.05000000001,9.56000000001,0,0,Yg
TR_LGUINDOS,PQ load Yg with load-flow (LF),1,13.24333333,MW,4.2933333333,MVAR,39.72999999,12.879999999899999,0,0,Yg
l_CUNCO110,PQ load Yg with load-flow (LF),1,0,MW,-0.9333333334,MVAR,0,-2.8000000002,0,0,Yg
TR_MARIQUINA,PQ load Yg with load-flow (LF),1,5.12,MW,1.1033333333,MVAR,15.36,3.3099999998999996,0,0,Yg
ATR_PICHIRRO,PQ load Yg with load-flow (LF),1,14.7,MW,2.7333333334,MVAR,44.099999999999994,8.2000000002,0,0,Yg
PILAUCO_220,PQ load Yg with load-flow (LF),1,19.06666666667,MW,1.1333333333334,MVAR,57.20000000000999,3.4000000000001997,0,0,Yg
L_MAMPIL220,PQ load Yg with load-flow (LF),1,0.62,MW,0.06,MVAR,1.8599999999999998,0.18,0,0,Yg
L_RUCUE220,PQ load Yg with load-flow (LF),1,0.43,MW,0.09,MVAR,1.29,0.27,0,0,Yg
FCR_154,PQ load Yg with load-flow (LF),1,30.173333333,MW,15.273333333,MVAR,90.51999999899999,45.819999999000004,0,0,Yg
L_CMPC110,PQ load Yg with load-flow (LF),0,9.9333333334,MW,2.9333333334,MVAR,29.8000000002,8.800000000199999,0,0,Yg
L_STAMARIA220,PQ load Yg with load-flow (LF),0,0.6,MW,0.63333334,MVAR,1.7999999999999998,1.9000000199999998,0,0,Yg
TR_DUQUE_N1,PQ load Yg with load-flow (LF),1,5.38666666666,MW,0.1866666667,MVAR,16.159999999980002,0.5600000001000001,0,0,Yg
TR_MATAQ_220,PQ load Yg with load-flow (LF),1,5.656666666,MW,-0.67666666,MVAR,16.969999998,-2.02999998,0,0,Yg
TR_DICHATO,PQ load Yg with load-flow (LF),1,12.276666666,MW,2.16,MVAR,36.829999998000005,6.48,0,0,Yg
TR_NVACAUQUE,PQ load Yg with load-flow (LF),1,10.736666666,MW,6.2533333333,MVAR,32.209999998,18.7599999999,0,0,Yg
TR_NIRIVI,PQ load Yg with load-flow (LF),1,9.91,MW,4.18,MVAR,29.73,12.54,0,0,Yg
TR_MAPA,PQ load Yg with load-flow (LF),1,11.03333333,MW,-6.3,MVAR,33.09999999,-18.9,0,0,Yg
TR_VARONES,PQ load Yg with load-flow (LF),1,12.38666666667,MW,2.26666666666666667,MVAR,37.16000000001,6.8,0,0,Yg
ATR_METR_220_1,PQ load Yg with load-flow (LF),1,16.0633333333333334,MW,-1.303333333,MVAR,48.19,-3.909999999,0,0,Yg
TR_NVA_VALD,PQ load Yg with load-flow (LF),1,5.58666666667,MW,2.33333333333,MVAR,16.760000000010002,6.999999999990001,0,0,Yg
Load2,PQ load Yg with load-flow (LF),1,10.926666666,MW,1.9466666666,MVAR,32.779999997999994,5.8399999998,0,0,Yg
TR_PARGUA_220,PQ load Yg with load-flow (LF),1,5.033333333334,MW,3.133333333334,MVAR,15.100000000002001,9.400000000001998,0,0,Yg
TR_MELIPULLI110,PQ load Yg with load-flow (LF),1,20.73333333334,MW,2.2333333333334,MVAR,62.20000000002,6.7000000000002,0,0,Yg
L_LLANQUI,PQ load Yg with load-flow (LF),1,10.666667,MW,2.6,MVAR,32.000001,7.800000000000001,0,0,Yg
L_PTOMONTT,PQ load Yg with load-flow (LF),1,8,MW,0.133333333334,MVAR,24,0.400000000002,0,0,Yg
MELI_220_66,PQ load Yg with load-flow (LF),1,12.666666666667,MW,4.0333333333334,MVAR,38.000000000001,12.1000000000002,0,0,Yg
TR_TUNICHE_N1,PQ load Yg with load-flow (LF),1,19.23,MW,-0.2,MVAR,57.69,-0.6000000000000001,0,0,Yg
