Name_PV,Active_ref
PMGD_PFV_Horcones066,0.958064
PFV_Ortega_Negrete_OG,0.958064
PMGD_PFV_Duqueco220,0.958064
PMGD_PFV_Temuco066,0.958064
PFV_Tamango_OG,0.958064
PMGD_PFV_Charrua066,0.860287
PMGD_PFV_Mulchen220,0.860287
PMGD_PFV_Chillan154,0.860287
PMGD_PFV_Parral154,0.860287
PMGD_PFV_Paine154,0.510287
PMG_Venezia_Solar_OG,0.510287
PMGD_PFV_Malloa154,0.510287
PMGD_PFV_PCortes154,0.510287
PMGD_PFV_Teno154,0.510287
PMGD_PFV_Tinguiririca154,0.510287
PFV_Gran_Teno_OG,0.510287
PMGD_PFV_Rancagua154,0.510287
PMGD_PFV_Talca066,0.462725
PMGD_PFV_Linares154,0.462725
PMGD_PFV_Itahue154,0.462725
PMGD_PFV_SJavier066,0.462725
