Name_LoadLF,P_loadLF
L_CMPC110,10.000000
TR_COLBUN_N1,69.298152
MINERO_220,119.353087
MAULE_220,65.347931
TR_ITAHUE_N1,48.129203
TINGUIRI_220,141.163946
TR_MATAQ_220,11.970579
TR_DICHATO,25.979753
TR_NVACAUQUE,22.720821
TR_NIRIVI,20.971438
TR_TUNICHE_N1,40.694324
TR_HUALP_N1,44.823721
CLAJA_220,5.601645
INFOR_220,9.249842
TR_STAFE_220,22.765065
TR_HUALQUI_220,17.327615
CONCEPCION_220,67.789939
CHARRUA_154,81.854767
TR_CPACIFICO,9.529660
TR_LGUINDOS,20.975812
L_MAMPIL220,0.982004
L_RUCUE220,0.681067
TR_MAPA,17.475444
FCR_154,47.790851
