Name_LoadLF,P_loadLF
TR_LPEU_N1,16.944174
PICOLTUE_220,3.474522
TR_HUALP_N1,44.358938
CLAJA_220,5.543561
INFOR_220,9.153929
TCHOLG_220,7.105790
TR_STAFE_220,22.529011
TR_COLBUN_N1,51.328882
MINERO_220,88.404386
TR_TEMUCO66,47.666265
MAULE_220,48.402969
TR_CHILOE_110,17.848072
ATR_VALDIV_220,20.533643
ATR_LASTARR_220,13.997361
TR_HUALQUI_220,17.147943
TR_ITAHUE_N1,35.649121
CONCEPCION_220,67.087016
CHARRUA_154,81.006004
TINGUIRI_220,104.559608
TR_CPACIFICO,9.430846
TR_LGUINDOS,20.758311
l_CUNCO110,0.000000
TR_MARIQUINA,8.025363
ATR_PICHIRRO,23.041569
PILAUCO_220,29.886116
L_MAMPIL220,0.971821
L_RUCUE220,0.674005
FCR_154,47.295301
L_CMPC110,15.570040
L_STAMARIA220,0.940472
TR_DUQUE_N1,8.443350
TR_MATAQ_220,8.866563
TR_DICHATO,19.243106
TR_NVACAUQUE,16.829227
TR_NIRIVI,15.533466
TR_MAPA,17.294239
TR_VARONES,19.415526
ATR_METR_220_1,25.178530
TR_NVA_VALD,8.756841
Load2,17.127043
TR_PARGUA_220,7.889517
TR_MELIPULLI110,32.498539
L_LLANQUI,16.719506
L_PTOMONTT,12.539629
MELI_220_66,19.854413
TR_TUNICHE_N1,30.142134
