Name_of_LF,Parameter,Value,Unit
LF_Colbun66,BusType,PV,
,Voltage,63.36,kVRMSLL
,P,9.54,MW
,Qset,-0.4,MVAR
,Qmax,25,MVAR
,Qmin,-25,MVAR
LF8,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF9,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF10,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF11,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF13,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF1,BusType,PQ,
,Voltage,231,kVRMSLL
,P,10.12,MW
,Qset,-40.71,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF2,BusType,PQ,
,Voltage,515.5,kVRMSLL
,P,-45.22,MW
,Qset,-209.12,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
