Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu,Frequency,Unit,Collector_grid_nominal_voltage,Unit,Tx_grid_nominal_voltage(POI),Unit,Include_ZigZag_transformer_option,R_ZigZag,Unit,L_ZigZag,Unit,Inverter_nominal_voltage,Unit,DC_voltage,Unit,Q_filt,Unit,R_Choke,L_Choke,Inc_collector,R_collector,Unit,L_collector,Unit,C_collector,Unit
PMGD_PFV_Chillan154,WECC PV park,197,197,1,MVA,2,0.45,pu,1,-0.1,pu,197,88.65000000,-19.70000000,0.45000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_SJavier066,WECC PV park,53,53,1,MVA,2,0.260275,pu,1,0,pu,53,13.79457500,0.00000000,0.26027500,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Itahue154,WECC PV park,100,100,1,MVA,2,0.260275,pu,1,-0.05,pu,100,26.02750000,-5.00000000,0.26027500,-0.05000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Linares154,WECC PV park,157,157,1,MVA,2,0.260275,pu,1,-0.1,pu,157,40.86317500,-15.70000000,0.26027500,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Malloa154,WECC PV park,110,110,1,MVA,2,0.307837,pu,1,-0.05,pu,110,33.86207000,-5.50000000,0.30783700,-0.05000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Talca066,WECC PV park,135,135,1,MVA,2,0.260275,pu,1,-0.05,pu,135,35.13712500,-6.75000000,0.26027500,-0.05000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Paine154,WECC PV park,177,177,1,MVA,2,0.307837,pu,1,-0.05,pu,177,54.48714900,-8.85000000,0.30783700,-0.05000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Parral154,WECC PV park,154,154,1,MVA,2,0.45,pu,1,-0.1,pu,154,69.30000000,-15.40000000,0.45000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_PCortes154,WECC PV park,52,52,1,MVA,2,0.307837,pu,1,0,pu,52,16.00752400,0.00000000,0.30783700,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Rancagua154,WECC PV park,201,201,1,MVA,2,0.307837,pu,1,0,pu,201,61.87523700,0.00000000,0.30783700,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Teno154,WECC PV park,186,186,1,MVA,2,0.307837,pu,1,0,pu,186,57.25768200,0.00000000,0.30783700,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Tinguiririca154,WECC PV park,115,115,1,MVA,2,0.307837,pu,1,-0.1,pu,115,35.40125500,-11.50000000,0.30783700,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
