Name_of_SG,Type_of_data,Parameter,Value,Unit,Status
Colbun_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,220,MVA,
,,R_a,.002,pu,
,,X_l,0.194,pu,
,,X_0,0.1,pu,
,,X_d,1.147,pu,
,,X_q,0.965,pu,
,,X_dp,0.297,pu,
,,X_dpp,0.222,pu,
,,T_dp,2.444359,s,
,,T_dpp,0.02242424,s,
,,X_qp,0.965,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.03989637,s,
,Mechanical_data,H,3.9,kgm^2/rad,
Colbun_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,220,MVA,
,,R_a,.002,pu,
,,X_l,0.194,pu,
,,X_0,0.11,pu,
,,X_d,1.147,pu,
,,X_q,0.965,pu,
,,X_dp,0.297,pu,
,,X_dpp,0.222,pu,
,,T_dp,2.756895,s,
,,T_dpp,0.02391919,s,
,,X_qp,0.965,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.04518135,s,
,Mechanical_data,H,3.9,kgm^2/rad,
LosGuindos_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,165,MVA,
,,R_a,.002,pu,
,,X_l,0.17,pu,
,,X_0,0.1,pu,
,,X_d,2.15,pu,
,,X_q,1.86,pu,
,,X_dp,0.267,pu,
,,X_dpp,0.195,pu,
,,T_dp,0.9376046,s,
,,T_dpp,0.02921348,s,
,,X_qp,0.319,pu,
,,X_qpp,0.22,pu,
,,T_qp,0.1372043,s,
,,T_qpp,0.03724138,s,
,Mechanical_data,H,5.5,kgm^2/rad,
LosGuindos_U2,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,165,MVA,
,,R_a,0,pu,
,,X_l,0.17,pu,
,,X_0,0.09,pu,
,,X_d,2.15,pu,
,,X_q,1.86,pu,
,,X_dp,0.267,pu,
,,X_dpp,0.195,pu,
,,T_dp,0.9376046,s,
,,T_dpp,0.02921348,s,
,,X_qp,0.319,pu,
,,X_qpp,0.22,pu,
,,T_qp,0.1372043,s,
,,T_qpp,0.03724138,s,
,Mechanical_data,H,6.017,kgm^2/rad,
StaMaria_U1,Electrical_data,V_a,18,1kVRMSLL,
,,V_b,18,1kVRMSLL,
,,V_c,18,1kVRMSLL,
,,Rated_voltage_(Y-connection),18,kVRMSLL,
,,Rated_power,468,MVA,
,,R_a,0.003,pu,
,,X_l,0.00,pu,
,,X_0,0.13,pu,
,,X_d,2.3,pu,
,,X_q,1.95,pu,
,,X_dp,0.265,pu,
,,X_dpp,0.195,pu,
,,T_dp,8.5,s,
,,T_dpp,0.02,s,
,,X_qp,0.485,pu,
,,X_qpp,0.195,pu,
,,T_qp,1.7,s,
,,T_qpp,0.02,s,
,Mechanical_data,H,6.25,kgm^2/rad,
SantaFeEnergia_U1,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,122.568,MVA,
,,R_a,.003,pu,
,,X_l,0.1,pu,
,,X_0,0.137,pu,
,,X_d,2.92,pu,
,,X_q,2.6,pu,
,,X_dp,0.324,pu,
,,X_dpp,0.239,pu,
,,T_dp,1.288233,s,
,,T_dpp,0.03319445,s,
,,X_qp,0.39,pu,
,,X_qpp,0.29,pu,
,,T_qp,0.075,s,
,,T_qpp,0.03346154,s,
,Mechanical_data,H,4.27,kgm^2/rad,
SantaFe_U3,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,61.25,MVA,
,,R_a,.003,pu,
,,X_l,0.163,pu,
,,X_0,0.086,pu,
,,X_d,2.85,pu,
,,X_q,1.35,pu,
,,X_dp,0.299,pu,
,,X_dpp,0.236,pu,
,,T_dp,1.045661,s,
,,T_dpp,0.04183277,s,
,,X_qp,1.35,pu,
,,X_qpp,0.34,pu,
,,T_qp,0,s,
,,T_qpp,0.04911111,s,
,Mechanical_data,H,2.26,kgm^2/rad,
SantaFe_U2,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,61.25,MVA,
,,R_a,.003,pu,
,,X_l,0.163,pu,
,,X_0,0.086,pu,
,,X_d,2.95,pu,
,,X_q,1.4,pu,
,,X_dp,0.299,pu,
,,X_dpp,0.236,pu,
,,T_dp,1.010215,s,
,,T_dpp,0.04183277,s,
,,X_qp,1.4,pu,
,,X_qpp,0.34,pu,
,,T_qp,0,s,
,,T_qpp,0.04735714,s,
,Mechanical_data,H,2.26,kgm^2/rad,
Pacifico_U2,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,50,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,2.6,pu,
,,X_q,2.6,pu,
,,X_dp,0.248,pu,
,,X_dpp,0.22,pu,
,,T_dp,0.08107693,s,
,,T_dpp,0.03548387,s,
,,X_qp,2.6,pu,
,,X_qpp,0.31,pu,
,,T_qp,0,s,
,,T_qpp,0.0031,s,
,Mechanical_data,H,1.36,kgm^2/rad,
Pacifico_U3,Electrical_data,V_a,13.2,1kVRMSLL,Ex
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,17.5,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,1.8,pu,
,,X_q,1.8,pu,
,,X_dp,0.292,pu,
,,X_dpp,0.197,pu,
,,T_dp,0.1297778,s,
,,T_dpp,0.0269863,s,
,,X_qp,1.8,pu,
,,X_qpp,0.23,pu,
,,T_qp,0,s,
,,T_qpp,0.00293889,s,
,Mechanical_data,H,1.12,kgm^2/rad,
Pacifico_U1,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,45.4,MVA,
,,R_a,.00201,pu,
,,X_l,0.1,pu,
,,X_0,0.08,pu,
,,X_d,2.58,pu,
,,X_q,2.58,pu,
,,X_dp,0.248,pu,
,,X_dpp,0.189,pu,
,,T_dp,0.09131783,s,
,,T_dpp,0.03810484,s,
,,X_qp,2.58,pu,
,,X_qpp,0.25,pu,
,,T_qp,0,s,
,,T_qpp,0.00261628,s,
,Mechanical_data,H,1.84,kgm^2/rad,
El_Toro_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U3,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
El_Toro_U4,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,105.263,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0965,pu,
,,X_d,1.2,pu,
,,X_q,0.728,pu,
,,X_dp,0.351,pu,
,,X_dpp,0.1802,pu,
,,T_dp,2.66175,s,
,,T_dpp,0.02464273,s,
,,X_qp,0.728,pu,
,,X_qpp,0.1998,pu,
,,T_qp,0,s,
,,T_qpp,0.02384975,s,
,Mechanical_data,H,2.875,kgm^2/rad,
StaLidia_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,150,MVA,
,,R_a,.003,pu,
,,X_l,0.001,pu,
,,X_0,0.1,pu,
,,X_d,1.96,pu,
,,X_q,2.1,pu,
,,X_dp,0.2,pu,
,,X_dpp,0.15,pu,
,,T_dp,1.9,s,
,,T_dpp,0.062,s,
,,X_qp,2.1,pu,
,,X_qpp,0.12,pu,
,,T_qp,0,s,
,,T_qpp,0.03,s,
,Mechanical_data,H,5,kgm^2/rad,
LosPinos_U1,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
,,V_c,11.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),11.5,kVRMSLL,
,,Rated_power,138.75,MVA,
,,R_a,.003,pu,
,,X_l,0.11,pu,
,,X_0,0.01,pu,
,,X_d,2.2,pu,
,,X_q,2.2,pu,
,,X_dp,0.23,pu,
,,X_dpp,0.19,pu,
,,T_dp,1.087273,s,
,,T_dpp,0.03304348,s,
,,X_qp,0.23,pu,
,,X_qpp,0.19,pu,
,,T_qp,0.1568182,s,
,,T_qpp,0.09913043,s,
,Mechanical_data,H,1.8,kgm^2/rad,
Mampil_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,29,MVA,
,,R_a,0.0036,pu,
,,X_l,0.14,pu,
,,X_0,0.1,pu,
,,X_d,1.02,pu,
,,X_q,0.68,pu,
,,X_dp,0.36,pu,
,,X_dpp,0.29,pu,
,,T_dp,2.533135,s,
,,T_dpp,0.01933333,s,
,,X_qp,0.68,pu,
,,X_qpp,0.29,pu,
,,T_qp,0,s,
,,T_qpp,0.04181818,s,
,Mechanical_data,H,2.9,kgm^2/rad,
Mampil_U2,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,29,MVA,
,,R_a,0.0036,pu,
,,X_l,0.14,pu,
,,X_0,0.1,pu,
,,X_d,1.02,pu,
,,X_q,0.68,pu,
,,X_dp,0.36,pu,
,,X_dpp,0.29,pu,
,,T_dp,2.533135,s,
,,T_dpp,0.01933333,s,
,,X_qp,0.68,pu,
,,X_qpp,0.29,pu,
,,T_qp,0,s,
,,T_qpp,0.04181818,s,
,Mechanical_data,H,2.9,kgm^2/rad,
Petropower_U1,Electrical_data,V_a,11.5,1kVRMSLL,
,,V_b,11.5,1kVRMSLL,
