Name_of_LF,Parameter,Value,Unit,AssociateSG
LF_COLB_U1,BusType,PV,,Colbun_U1
,Voltage,14.2,kVRMSLL,
,P,100.1,MW,
,Qset,480,MVAR,
,Qmax,103.17,MVAR,
,Qmin,-67.26,MVAR,
LF_COLB_U2,BusType,PV,,Colbun_U2
,Voltage,14.2,kVRMSLL,
,P,100.1,MW,
,Qset,23.8,MVAR,
,Qmax,35.64,MVAR,
,Qmin,-33,MVAR,
LF_LGUINDOS_U1,BusType,PV,,LosGuindos_U1
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,111.3,MVAR,
,Qmin,-39.2,MVAR,
LF_LGUINDOS_U2,BusType,PV,,LosGuindos_U2
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,111.3,MVAR,
,Qmin,-39.2,MVAR,
LF_SMARI_U1,BusType,PV,,StaMaria_U1
,Voltage,18,kVRMSLL,
,P,200,MW,
,Qset,480,MVAR,
,Qmax,347.4163,MVAR,
,Qmin,-126.8238,MVAR,
LF_SFeE_U1_U1,BusType,PV,,SantaFeEnergia_U1
,Voltage,13.2,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,73.5408,MVAR,
,Qmin,-24.5136,MVAR,
LF_SFe_U2,BusType,PV,,SantaFe_U3
,Voltage,13.793999999999998,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,61.25,MVAR,
,Qmin,-61.25,MVAR,
LF_SFe_U2,BusType,PV,,SantaFe_U2
,Voltage,13.793999999999998,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,61.25,MVAR,
,Qmin,-61.25,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U2
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U3
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_PACIFIC_U1,BusType,PV,,Pacifico_U1
,Voltage,13.463999999999998,kVRMSLL,
,P,12,MW,
,Qset,480,MVAR,
,Qmax,27.24,MVAR,
,Qmin,-4.54,MVAR,
LF_TORO_U1,BusType,PV,,El_Toro_U1
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,41.6,MVAR,
,Qmin,-56.1,MVAR,
LF_TORO_U3,BusType,PV,,El_Toro_U3
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,41.6,MVAR,
,Qmin,-56.1,MVAR,
LF_TORO_U2,BusType,PV,,El_Toro_U2
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,40.7,MVAR,
,Qmin,-58.5,MVAR,
LF_TORO_U4,BusType,PV,,El_Toro_U4
,Voltage,13.524,kVRMSLL,
,P,59,MW,
,Qset,480,MVAR,
,Qmax,40.7,MVAR,
,Qmin,-58.5,MVAR,
LF_SLIDIA_U1,BusType,PV,,StaLidia_U1
,Voltage,15,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,103,MVAR,
,Qmin,-37.6,MVAR,
LF_LPINOS_U1,BusType,PV,,LosPinos_U1
,Voltage,11.5,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,103,MVAR,
,Qmin,-37.6,MVAR,
LF_MAMP_U1,BusType,PQ,,Mampil_U1
,Voltage,13.524,kVRMSLL,
,P,20,MW,
,Qset,1,MVAR,
,Qmax,8,MVAR,
,Qmin,-6,MVAR,
LF_MAMP_U2,BusType,PV,,Mampil_U2
,Voltage,13.938,kVRMSLL,
,P,20,MW,
,Qset,480,MVAR,
,Qmax,8,MVAR,
,Qmin,-6,MVAR,
LF_PETPOWER_U1,BusType,PV,,Petropower_U1
,Voltage,11.27,kVRMSLL,
,P,21,MW,
,Qset,480,MVAR,
,Qmax,40,MVAR,
,Qmin,-15,MVAR,
LF_ANTILH_U1,BusType,PV,,Antilhue_U1
,Voltage,11.615,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,42,MVAR,
,Qmin,-19,MVAR,
LF_ANTILH_U2,BusType,PV,,Antilhue_U2
,Voltage,11.615,kVRMSLL,
,P,0,MW,
,Qset,480,MVAR,
,Qmax,42,MVAR,
,Qmin,-19,MVAR,
LF_BOCA_II,BusType,PV,,Bocamina_II
,Voltage,18,kVRMSLL,
,P,350,MW,
,Qset,480,MVAR,
,Qmax,370,MVAR,
,Qmin,-195,MVAR,
c_laja,BusType,PQ,,c_laja
,Voltage,11,kVRMSLL,
,P,4.2,MW,
,Qset,-5.8,MVAR,
,Qmax,17.2,MVAR,
,Qmin,-27.4,MVAR,
C_Maipo_PA,BusType,PQ,,C_Maipo_PA
,Voltage,11,kVRMSLL,
,P,3.0,MW,
,Qset,-3.5,MVAR,
,Qmax,47.52446,MVAR,
,Qmin,-54.17914,MVAR,
Central_Rucatayo,BusType,PV,,Central_Rucatayo
,Voltage,13.62,kVRMSLL,
,P,31.9,MW,
,Qset,-3.33,MVAR,
,Qmax,17.6832,MVAR,
,Qmin,-17.6832,MVAR,
C_ANTILLANCA,BusType,PQ,,C_ANTILLANCA
,Voltage,13.8,kVRMSLL,
,P,32.5,MW,
,Qset,-4.6,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_VALD_U1,BusType,PV,,Valdivia_U1
,Voltage,16.1,kVRMSLL,
,P,42.4,MW,
,Qset,9.4,MVAR,
,Qmax,55,MVAR,
,Qmin,-21.8,MVAR,
LF_CARILAF,BusType,PQ,,C_CARILAF
,Voltage,13.8,kVRMSLL,
,P,15.5,MW,
,Qset,-4.5,MVAR,
,Qmax,17.2,MVAR,
,Qmin,-27.4,MVAR,
LF_PANG_U1,BusType,PV,,Pangue_U1
,Voltage,13.5,kVRMSLL,
,P,80,MW,
,Qset,480,MVAR,
,Qmax,69.5,MVAR,
,Qmin,-13.2,MVAR,
LF_PANG_U2,BusType,PV,,Pangue_U2
,Voltage,13.524,kVRMSLL,
,P,182.4,MW,
,Qset,480,MVAR,
,Qmax,69.5,MVAR,
,Qmin,-13.2,MVAR,
LF_ANTU_U1,BusType,PV,,Antuco_U1
,Voltage,13.938,kVRMSLL,
,P,80,MW,
,Qset,480,MVAR,
,Qmax,37.8,MVAR,
,Qmin,-62.2,MVAR,
LF_ANTU_U2,BusType,PV,,HE_Antuco_U1
,Voltage,13.2,kVRMSLL,
,P,80.8,MW,
,Qset,480,MVAR,
,Qmax,37.8,MVAR,
,Qmin,-62.2,MVAR,
LF_RALC_U1,BusType,Slack,,Ralco_U1
,Voltage,14.076,kVRMSLL,
,P,92,MW,
,Qset,13.56977132,MVAR,
,Qmax,170.6,MVAR,
,Qmin,-143.3,MVAR,
LF_RALC_U2,BusType,PV,,Ralco_U2
,Voltage,13.8,kVRMSLL,
,P,120,MW,
,Qset,480,MVAR,
,Qmax,170.6,MVAR,
,Qmin,-143.3,MVAR,
c_palmucho,BusType,PV,,c_palmucho
,Voltage,14,kVRMSLL,
,P,28.9,MW,
,Qset,-8.4,MVAR,
,Qmax,17.2,MVAR,
,Qmin,-27.4,MVAR,
LF_RUCUE_U1,BusType,PV,,Rucue_U1
,Voltage,14.3,kVRMSLL,
,P,51,MW,
,Qset,480,MVAR,
,Qmax,58.46,MVAR,
,Qmin,-23.17,MVAR,
LF_RUCUE_U2,BusType,PV,,Rucue_U2
,Voltage,14.214,kVRMSLL,
,P,75,MW,
,Qset,480,MVAR,
,Qmax,58.46,MVAR,
,Qmin,-23.17,MVAR,
LF_QUILLEC_U1,BusType,PV,,Quilleco_U1
,Voltage,14.1,kVRMSLL,
,P,23.2,MW,
,Qset,8.3,MVAR,
,Qmax,11,MVAR,
,Qmin,-10,MVAR,
LF_QUILLEC_U2,BusType,PV,,Quilleco_U2
,Voltage,14.214,kVRMSLL,
,P,30,MW,
,Qset,480,MVAR,
,Qmax,11,MVAR,
,Qmin,-10,MVAR,
La_Mina_RColorado,BusType,PQ,,La_Mina_RColorado
,Voltage,13.8,kVRMSLL,
,P,3.0000,MW,
,Qset,0,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_LomaAlta,BusType,PQ,,C_LomaAlta
,Voltage,13.8,kVRMSLL,
,P,2,MW,
,Qset,-3.3,MVAR,
,Qmax,25,MVAR,
,Qmin,-25,MVAR,
LF_NIUBLE_U1,BusType,PV,,Niuble_U1
,Voltage,14.076,kVRMSLL,
,P,115.6,MW,
,Qset,480,MVAR,
,Qmax,35.67,MVAR,
,Qmin,-58.7,MVAR,
LF_DIGUA_U1,BusType,PQ,,LFS_DIGUA_U1
,Voltage,6.6,kVRMSLL,
,P,3.2,MW,
,Qset,1.6,MVAR,
,Qmax,6.45,MVAR,
,Qmin,-6.45,MVAR,
Loma_Alta_LHierros,BusType,PV,,Loma_Alta_LHierros
,Voltage,14.427,kVRMSLL,
,P,9,MW,
