Name1,Name2,Type_Park,Status1,Status2,StatusFinal
PMGD_PFV_Chillan154,-,WECC PV park,1,-,1
PMGD_PFV_SJavier066,-,WECC PV park,1,-,1
PMGD_PFV_Itahue154,-,WECC PV park,1,-,1
PMGD_PFV_Linares154,-,WECC PV park,1,-,1
PMGD_PFV_Malloa154,-,WECC PV park,1,-,1
PMGD_PFV_Talca066,-,WECC PV park,1,-,1
PMGD_PFV_Paine154,-,WECC PV park,1,-,1
PMGD_PFV_Parral154,-,WECC PV park,1,-,1
PMGD_PFV_PCortes154,-,WECC PV park,1,-,1
PMGD_PFV_Rancagua154,-,WECC PV park,1,-,1
PMGD_PFV_Teno154,-,WECC PV park,1,-,1
PMGD_PFV_Tinguiririca154,-,WECC PV park,1,-,1
PMGD_PFV_Charrua066,-,WECC PV park,1,-,1
PMGD_PFV_Horcones066,-,WECC PV park,1,-,1
PMGD_PFV_Mulchen220,-,WECC PV park,1,-,1
PMGD_PFV_Duqueco220,-,WECC PV park,1,-,1
PMGD_PFV_Temuco066,-,WECC PV park,1,-,1
PFV_Gran_Teno_OG,-,WECC PV park,1,-,1
PFV_Tamango_OG,-,WECC PV park,1,-,1
PMG_Venezia_Solar_OG,-,WECC PV park,1,-,1
PFV_Ortega_Negrete_OG,-,WECC PV park,1,-,1
