Name1,Name2,Type_Park,Status1,Status2,StatusFinal
PE_Aurora,-,WECC WP,1,-,1
PE_SanGabriel,-,WECC WP,1,-,1
PE_MallecoNorte,-,WECC WP,1,-,1
PE_MallecoSur,-,WECC WP,1,-,1
PE_Los_Olmos,-,WECC WP,1,-,1
PE_Tolpan_Sur,-,WECC WP,1,-,1
PE_Lomas_de_Duqueco,-,WECC WP,1,-,1
PE_Renaico_I,-,WECC WP,1,-,1
PE_San_Matias_Etapa1_OG,-,WECC Wind park,1,-,1
PE_San_Pedro_II,-,WECC WP,0,-,0
PE_SUR_1,-,WECC WP,0,-,0
PE_SUR_2,-,WECC WP,0,-,0
PE_SUR_3,-,WECC WP,0,-,0
PE_SUR_4,-,WECC WP,0,-,0
PE_Caman_Etapa1_OG,-,WECC Wind park,0,-,0
