Name_LoadLF,P_loadLF
TR_LPEU_N1,17.30401256
PICOLTUE_220,3.548309699
TR_HUALP_N1,45.30097645
CLAJA_220,5.661288105
INFOR_220,9.34832871
TR_STAFE_220,23.00745352
TR_COLBUN_N1,52.41893896
MINERO_220,90.28180466
TR_TEMUCO66,48.67854042
MAULE_220,49.4308888
TR_CHILOE_110,18.22710666
ATR_VALDIV_220,20.96970995
ATR_LASTARR_220,14.29461907
TR_HUALQUI_220,17.51210892
TR_ITAHUE_N1,36.40619109
CONCEPCION_220,68.51172411
CHARRUA_154,82.72630612
TINGUIRI_220,106.7801107
TR_CPACIFICO,9.631126325
TR_LGUINDOS,21.19914952
l_CUNCO110,0
TR_MARIQUINA,8.195795033
ATR_PICHIRRO,23.5308959
PILAUCO_220,30.52079921
L_MAMPIL220,0.992459555
L_RUCUE220,0.688318724
FCR_154,48.29969833
TR_DUQUE_N1,8.622659358
TR_MATAQ_220,9.054859486
TR_DICHATO,19.65176635
TR_NVACAUQUE,17.18662487
TR_NIRIVI,15.86334547
TR_MAPA,17.66151143
TR_VARONES,19.82784788
ATR_METR_220_1,25.71323976
TR_NVA_VALD,8.942807602
Load2,17.4907657
TR_PARGUA_220,8.057064128
TR_MELIPULLI110,33.18870124
L_LLANQUI,17.07457352
L_PTOMONTT,12.80592974
MELI_220_66,20.27605542
TR_TUNICHE_N1,30.78225361
