Name_PV,N_PV_inServ
PFV_Capricornio_new,57.0
PFV_Quilapilun,60.0
PFV_Dona_Carmen,20.0
PFV_EL_PELICANO,66.0
PFV_LA_HUELLA,26.0
PFV_EL_ROMERO,190.0
PFV_VALLE_ESCONDIDO,64.0
PFV_SAN_ANDRES,35.0
PFV_LLANO_DE_LLAMPOS,66.0
PFV_Pampa_Solar_Norte,42.0
PFV_GUANCHOI,30.0
PFV_DIEGO_DE_ALMAGRO_SUR,46.0
PFV_CAMPOS_DEL_SOL,245.0
PFV_LUZ_DEL_NORTE,172.0
PFV_CARRERA_PINTO,62.0
PFV_DAlmagro_Equiv,215.0
PFV_Conejo,63.0
PFV_LALACKAMA_I_II,45.0
PFV_MALGARIDA_I_II,142.0
PFV_ALMEYDA,1.0
PV_PAMPA_TIGRE,100.0
PFV_Domeyko,120.0
PFV_Andes_Solar,40.0
PFV_UribeSolar,32.0
PFV_Bolero,94.0
PFV_VALLE_DEL_SOL,95.0
PFV_Cerro_Dominador,66.0
PFV_TamayaSolar,69.0
PFV_Finis_Terrae_I,48.0
PFV_Finis_Terrae_II,48.0
PFV_Jama_I_II,33.0
PFV_Usya_AzaBache,69.0
PFV_LCruz_Solar,32.0
PFV_Sol_del_Desierto_II,72.0
PFV_Maria_Elena,41.0
PFV_San_Pedro,70.0
PFV_Andes_Solar_IIA,21.0
PFV_Coya,116.0
PFV_Elena_Kimal,321.0
PFV_Las_Salinas,233.0
PFV_Pedro_de_Valdivia,66.0
PFV_Lalackama_Parinas,35.0
PFV_Nuevo_Futuro,75.0
PFV_Punta_del_Viento,106.0
PFV_Libelula_Gen,110.0
PFV_Meseta_de_los_Andes,65.0
PFV_COCHRANE,70.0
PFV_KAPATUIR,35.0
PFV_QUILLOTA,150.0
PFV_LAMPA,150.0
PFV_IEM_TEN,30.0
PFV_Granja_Solar,69.0
PFV_Huatacondo,59.0
PFV_Atacama_Solar_II,105.0
PFV_Nuevo_Quillahua,65.0
PFV_PALM_HUAYCA,30.0
PFV_Willka2,63.0
PFV_RIO_ESCONDIDO,21.0
PFV_Sol_del_Lila,80.0
PFV_STA_ISABEL,63.0
PFV_Sol_de_Varas,40.0
PFV_iem_ten,70.0
PFV_NCHUQUI,30.0
PMGD_PFV_Lagunas220,54.0
PMGD_PFV_PAlmonte110,108.0
PMGD_PFV_Calama220,66.0
PMGD_PFV_Crucero220,34.0
PMGD_PFV_Esmeralda110,71.0
PMGD_PFV_Cardones110,138.0
PMGD_PFV_DAlmagro110,41.0
PMGD_PFV_Maitencillo110,38.0
PMGD_PFV_Quillota110,52.0
PMGD_PFV_ElPenon110,215.0
PMGD_PFV_LVilos220,116.0
PMGD_PFV_PAzucar110,96.0
PMGD_PFV_ASanta220,121.0
PMGD_PFV_LVegas110,141.0
PMGD_PFV_Batuco110,62.0
PMGD_PFV_Chena110,147.0
PMGD_PFV_Renca110,39.0
PMGD_PFV_CNavia110,62.0
PMGD_PFV_Florida110,64.0
PMGD_PFV_AJahuel110,66.0
PMGD_PFV_AMelipilla220,144.0
PMGD_PFV_Polpaico220,134.0
PMGD_PFV_Rapel220,266.0
PMGD_PFV_Chillan154,197.0
PMGD_PFV_SJavier066,53.0
PMGD_PFV_Itahue154,100.0
PMGD_PFV_Linares154,157.0
PMGD_PFV_Malloa154,110.0
PMGD_PFV_Talca066,135.0
PMGD_PFV_Paine154,177.0
PMGD_PFV_Parral154,154.0
PMGD_PFV_PCortes154,52.0
PMGD_PFV_Rancagua154,201.0
PMGD_PFV_Teno154,186.0
PMGD_PFV_Tinguiririca154,115.0
PMGD_PFV_Charrua066,249.0
PMGD_PFV_Horcones066,33.0
PMGD_PFV_Mulchen220,91.0
PMGD_PFV_Duqueco220,29.0
PMGD_PFV_Temuco066,30.0
