Name1,LibType,Status1,StatusFinal
STAT_POLPAICO,STATCOM,1,1
STAT_CNAVIA,STATCOM,1,1
STAT_PAZUCAR,STATCOM,1,1
BESS_SAN_ANDRES,AC-DC converter with control,1,1
BESS_PV_Salvador,AC-DC converter with control,1,1
BESS_EL_MANZANO,AC-DC converter with control,1,1
BESS_DON_HUMBERTO,AC-DC converter with control,1,1
BESS_Central_DDA,AC-DC converter with control,1,1
BESS_Maria_Elena,AC-DC converter with control,1,1
BESS_Andes_Solar_IIA,AC-DC converter with control,1,1
BESS_Tamaya,AC-DC converter with control,1,1
BESS_CAPRICORNIO,AC-DC converter with control,1,1
BESS_Sol_del_Desierto,AC-DC converter with control,1,1
BESS_Andes_III_Etapa_I,AC-DC converter with control,1,1
BESS_GABRIELA,AC-DC converter with control,1,1
BESS_VICTOR_JARA,AC-DC converter with control,1,1
BESS_La_Cabana,AC-DC converter with control,1,1
BESS_La_Cabana_Amp,AC-DC converter with control,1,1
STATCOM_DDA,STATCOM,1,1
SVC_DOMEYKO,STATCOM,1,1
SVC_CARDONES,STATCOM,1,1
SVC_MAITENCILLO,STATCOM,1,1
STATCOM_MAIPO,STATCOM,1,1
STATCOM_CHACAY,STATCOM,1,1
SVC_PDAZ,STATCOM,1,1
STAT_ENTRERIOS,STATCOM,1,1
STAT_LAGUNAS,STATCOM,1,1
BESS_Quillagua,AC-DC converter with control,1,1
BESS_Cochrane,AC-DC converter with control,1,1
BESS_Angamos,AC-DC converter with control,1,1
BESS_4H_Zaldivar,AC-DC converter with control,1,1
BESS_6H_I_1,AC-DC converter with control,1,1
BESS_6H_I_2,AC-DC converter with control,0,0
BESS_6H_II_12,AC-DC converter with control,0,0
BESS_6H_III_1,AC-DC converter with control,0,0
BESS_8H_II_1,AC-DC converter with control,0,0
STAT_KIMAL,STATCOM,0,0
