Name_of_LF,Parameter,Value,Unit
LF_CCSS_ILLAPA_ALUPAR,BusType,PQ,
,Voltage,15,kVRMSLL
,P,0,MW
,Qset,0,MVAR
,Qmax,297,MVAR
,Qmin,-140,MVAR
LF12,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF1,BusType,PQ,
,Voltage,223.3514729018865,kVRMSLL
,P,-614.336,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF_CS_U15,BusType,PQ,
,Voltage,14.0622,kVRMSLL
,P,0,MW
,Qset,0,MVAR
,Qmax,112.5,MVAR
,Qmin,-87.5,MVAR
LF2,BusType,PQ,
,Voltage,520.0033388277735,kVRMSLL
,P,585.68,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF_CCSS_AMARIA_ALUPAR,BusType,PQ,
,Voltage,15.45,kVRMSLL
,P,0,MW
,Qset,0,MVAR
,Qmax,396,MVAR
,Qmin,-165,MVAR
LF_CCSS_LIKANANTAI_TRANSELEC,BusType,PQ,
,Voltage,15.15,kVRMSLL
,P,0,MW
,Qset,0,MVAR
,Qmax,92,MVAR
,Qmin,-89.7,MVAR
LF_CCSS_AMARIA_TRANSELEC,BusType,PQ,
,Voltage,15.45,kVRMSLL
,P,0,MW
,Qset,0,MVAR
,Qmax,396,MVAR
,Qmin,-165,MVAR
LF_Colbun66,BusType,PV,
,Voltage,63.36,kVRMSLL
,P,9.54,MW
,Qset,-0.4,MVAR
,Qmax,25,MVAR
,Qmin,-25,MVAR
LF8,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF9,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF10,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF11,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
LF13,BusType,PQ,
,Voltage,13.8,kVRMSLL
,P,0.001,MW
,Qset,0,MVAR
,Qmax,1000,MVAR
,Qmin,-1000,MVAR
