Name_LoadLF,LibType,Parameter,Value, Unit
TR_LAMPA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,15.16,MW
,,Np,0,
,,Q_loadLF,4.18666666,MVAR
,,Nq,0,
,,connectionType,Yg,
AJAHUEL_154,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,22.77,MW
,,Np,0,
,,Q_loadLF,20.553333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHENA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,90.82,MW
,,Np,0,
,,Q_loadLF,22.81,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHENA_N2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,86.81,MW
,,Np,0,
,,Q_loadLF,22.86666666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_AMELIPI_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,43.8,MW
,,Np,0,
,,Q_loadLF,0.39333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MAITENES_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,70.5133333,MW
,,Np,0,
,,Q_loadLF,57.59666666,MVAR
,,Nq,0,
,,connectionType,Yg,
SPEDRO_110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,34.52666667,MW
,,Np,0,
,,Q_loadLF,9.9333333,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_QUILL_N123,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,49.47333333,MW
,,Np,0,
,,Q_loadLF,17.01,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LOSVILOS_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,18.166666,MW
,,Np,0,
,,Q_loadLF,7.8,MVAR
,,Nq,0,
,,connectionType,Yg,
CASERONES_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,33.97,MW
,,Np,0,
,,Q_loadLF,-10.89666667,MVAR
,,Nq,0,
,,connectionType,Yg,
AGROSUPER_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.06,MW
,,Np,0,
,,Q_loadLF,3.08,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MAITE_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.686667,MW
,,Np,0,
,,Q_loadLF,1.63666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MAITE_N2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.923333,MW
,,Np,0,
,,Q_loadLF,1.72,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_CARDO_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,28.2,MW
,,Np,0,
,,Q_loadLF,7.5,MVAR
,,Nq,0.53,
,,connectionType,Yg,
CNEGRON_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.5566667,MW
,,Np,0,
,,Q_loadLF,-2.10333333,MVAR
,,Nq,0,
,,connectionType,Yg,
BUIN_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,73.16666666,MW
,,Np,0,
,,Q_loadLF,-15.266666666,MVAR
,,Nq,0,
,,connectionType,Yg,
AJAHUEL_110,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,57.19333333,MW
,,Np,0,
,,Q_loadLF,-11.08,MVAR
,,Nq,0,
,,connectionType,Yg,
SE_ESTRELLA110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,24.23,MW
,,Np,0,
,,Q_loadLF,3.9666666,MVAR
,,Nq,0,
,,connectionType,Yg,
NEPTUNO_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,14.48,MW
,,Np,0,
,,Q_loadLF,7.2166666,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_RACON_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,31.89,MW
,,Np,0,
,,Q_loadLF,10.8033333,MVAR
,,Nq,0,
,,connectionType,Yg,
DALMAG_110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,24.8333333334,MW
,,Np,0,
,,Q_loadLF,7.366666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
R_PAPOSO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.68666667,MW
,,Np,0,
,,Q_loadLF,-0.16667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_SPEDRO220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,32.2,MW
,,Np,0,
,,Q_loadLF,7.8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MANZA2201,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.833333333334,MW
,,Np,0,
,,Q_loadLF,0.633333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ESALTO220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,151.06666667,MW
,,Np,0,
,,Q_loadLF,20.8666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.8266666,MW
,,Np,0,
,,Q_loadLF,31.2366666666,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.87666666,MW
,,Np,0,
,,Q_loadLF,31.60333333,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N3,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.87666666,MW
,,Np,0,
,,Q_loadLF,31.60333333,MVAR
,,Nq,0,
,,connectionType,Yg,
PORTEZUELO_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,29.1066666,MW
,,Np,0,
,,Q_loadLF,0.31,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ASANTA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,53.3133333333,MW
,,Np,0,
,,Q_loadLF,36.11,MVAR
,,Nq,0,
,,connectionType,Yg,
L_PE_TALTAL,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.366666667,MW
,,Np,0,
