Name_of_SG,Type_of_data,Parameter,Value,Unit,Status
Nueva_Ventanas,Electrical_data,V_a,18,1kVRMSLL,
,,V_b,18,1kVRMSLL,
,,V_c,18,1kVRMSLL,
,,Rated_voltage_(Y-connection),18,kVRMSLL,
,,Rated_power,330,MVA,
,,R_a,.00083,pu,
,,X_l,0.14,pu,
,,X_0,0.101,pu,
,,X_d,2.354,pu,
,,X_q,2.02,pu,
,,X_dp,0.193,pu,
,,X_dpp,0.143,pu,
,,T_dp,0.8690739,s,
,,T_dpp,0.02963731,s,
,,X_qp,0.839,pu,
,,X_qpp,0.162,pu,
,,T_qp,1.142203,s,
,,T_qpp,0.05792611,s,
,Mechanical_data,H,6.93,kgm^2/rad,
Campiche,Electrical_data,V_a,18,1kVRMSLL,
,,V_b,18,1kVRMSLL,
,,V_c,18,1kVRMSLL,
,,Rated_voltage_(Y-connection),18,kVRMSLL,
,,Rated_power,330,MVA,
,,R_a,.0077,pu,
,,X_l,0.152,pu,
,,X_0,0.101,pu,
,,X_d,2.36,pu,
,,X_q,2.22,pu,
,,X_dp,0.193,pu,
,,X_dpp,0.155,pu,
,,T_dp,0.8954873,s,
,,T_dpp,0.03212435,s,
,,X_qp,0.839,pu,
,,X_qpp,0.162,pu,
,,T_qp,1.107329,s,
,,T_qpp,0.06178784,s,
,Mechanical_data,H,6.8,kgm^2/rad,
Ventanas_U1,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,135.3,MVA,
,,R_a,.00083,pu,
,,X_l,0.1,pu,
,,X_0,0.07,pu,
,,X_d,1.69,pu,
,,X_q,1.6,pu,
,,X_dp,0.18,pu,
,,X_dpp,0.12,pu,
,,T_dp,1.092781,s,
,,T_dpp,0.02846666,s,
,,X_qp,0.25,pu,
,,X_qpp,0.12,pu,
,,T_qp,0.078125,s,
,,T_qpp,0.0336,s,
,Mechanical_data,H,3.64,kgm^2/rad,
Ventanas_U2,Electrical_data,V_a,18,1kVRMSLL,
,,V_b,18,1kVRMSLL,
,,V_c,18,1kVRMSLL,
,,Rated_voltage_(Y-connection),18,kVRMSLL,
,,Rated_power,257.1,MVA,
,,R_a,.00083,pu,
,,X_l,0.1,pu,
,,X_0,0.085,pu,
,,X_d,1.47,pu,
,,X_q,1.42,pu,
,,X_dp,0.23,pu,
,,X_dpp,0.17,pu,
,,T_dp,0.8448979,s,
,,T_dpp,0.01478261,s,
,,X_qp,0.425,pu,
,,X_qpp,0.17,pu,
,,T_qp,0.2208803,s,
,,T_qpp,0.0148,s,
,Mechanical_data,H,3.04,kgm^2/rad,
Cardones_U1,Electrical_data,V_a,15.75,1kVRMSLL,
,,V_b,15.75,1kVRMSLL,
,,V_c,15.75,1kVRMSLL,
,,Rated_voltage_(Y-connection),15.75,kVRMSLL,
,,Rated_power,179.86,MVA,
,,R_a,.0007,pu,
,,X_l,0.0001,pu,
,,X_0,0.089,pu,
,,X_d,2.15,pu,
,,X_q,2.04,pu,
,,X_dp,0.23,pu,
,,X_dpp,0.17,pu,
,,T_dp,1.342,s,
,,T_dpp,0.03663509,s,
,,X_qp,2.04,pu,
,,X_qpp,0.19,pu,
,,T_qp,0,s,
,,T_qpp,0.04462381,s,
,Mechanical_data,H,5.5,kgm^2/rad,
Taltal_U1,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,165,MVA,
,,R_a,.0001,pu,
,,X_l,0.17,pu,
,,X_0,0.1,pu,
,,X_d,2.15,pu,
,,X_q,1.86,pu,
,,X_dp,0.267,pu,
,,X_dpp,0.195,pu,
,,T_dp,0.9376046,s,
,,T_dpp,0.02921348,s,
,,X_qp,0.319,pu,
,,X_qpp,0.22,pu,
,,T_qp,0.1372043,s,
,,T_qpp,0.03724138,s,
,Mechanical_data,H,5.5,kgm^2/rad,
Taltal_U2,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,165,MVA,
,,R_a,.0001,pu,
,,X_l,0.17,pu,
,,X_0,0.1,pu,
,,X_d,1.985,pu,
,,X_q,1.907,pu,
,,X_dp,0.285,pu,
,,X_dpp,0.197,pu,
,,T_dp,0.9533501,s,
